#$Id: networkLUT_lh.txt 

#No.	Label Name:	R	G	B	A
0	Unknown	0	0	0	0
1	lh.network_1	255	255	240	0
2	lh.network_2	255	199	0	0
3	lh.network_3	255	99	0	0
4	lh.network_4	189	0	0	0
5	lh.network_5	255	255	132	0
6	lh.network_6	255	255	108	0
7	lh.network_7	14	0	0	0
8	lh.network_8	255	111	0	0
9	lh.network_9	255	113	0	0
10	lh.network_10	255	255	69	0
11	lh.network_11	121	0	0	0
12	lh.network_12	255	255	153	0
13	lh.network_13	255	255	207	0
14	lh.network_14	255	255	24	0
15	lh.network_15	255	255	81	0
16	lh.network_16	255	245	0	0
17	lh.network_17	226	0	0	0
18	lh.network_18	70	0	0	0
19	lh.network_19	255	103	0	0
20	lh.network_20	255	51	0	0
21	lh.network_21	255	255	171	0
22	lh.network_22	255	243	0	0
23	lh.network_23	80	0	0	0
24	lh.network_24	105	0	0	0
25	lh.network_25	49	0	0	0
26	lh.network_26	255	255	162	0
27	lh.network_27	255	29	0	0
28	lh.network_28	251	0	0	0
29	lh.network_29	62	0	0	0
30	lh.network_30	255	128	0	0
31	lh.network_31	255	140	0	0
32	lh.network_32	255	152	0	0
33	lh.network_33	255	93	0	0
34	lh.network_34	255	255	120	0
35	lh.network_35	255	195	0	0
36	lh.network_36	255	255	66	0
37	lh.network_37	255	255	210	0
38	lh.network_38	255	255	135	0
39	lh.network_39	255	175	0	0
40	lh.network_40	255	78	0	0
41	lh.network_41	255	255	45	0
42	lh.network_42	202	0	0	0
43	lh.network_43	255	90	0	0
44	lh.network_44	136	0	0	0
45	lh.network_45	255	255	15	0
46	lh.network_46	255	255	33	0
47	lh.network_47	255	193	0	0
48	lh.network_48	255	212	0	0
49	lh.network_49	255	204	0	0
50	lh.network_50	255	255	30	0
51	lh.network_51	255	255	201	0
52	lh.network_52	255	255	96	0
53	lh.network_53	255	88	0	0
54	lh.network_54	255	154	0	0
55	lh.network_55	255	136	0	0
56	lh.network_56	255	234	0	0
57	lh.network_57	255	255	63	0
58	lh.network_58	255	187	0	0
59	lh.network_59	255	12	0	0
60	lh.network_60	255	255	99	0
61	lh.network_61	255	210	0	0
62	lh.network_62	255	247	0	0
63	lh.network_63	255	183	0	0
64	lh.network_64	255	255	111	0
65	lh.network_65	255	255	141	0
66	lh.network_66	255	177	0	0
67	lh.network_67	255	255	39	0
68	lh.network_68	255	239	0	0
69	lh.network_69	255	255	102	0
70	lh.network_70	255	117	0	0
71	lh.network_71	97	0	0	0
72	lh.network_72	255	49	0	0
73	lh.network_73	78	0	0	0
74	lh.network_74	128	0	0	0
75	lh.network_75	208	0	0	0
76	lh.network_76	255	171	0	0
77	lh.network_77	255	222	0	0
78	lh.network_78	58	0	0	0
79	lh.network_79	99	0	0	0
80	lh.network_80	125	0	0	0
81	lh.network_81	255	14	0	0
82	lh.network_82	255	23	0	0
83	lh.network_83	169	0	0	0
84	lh.network_84	113	0	0	0
85	lh.network_85	23	0	0	0
86	lh.network_86	31	0	0	0
87	lh.network_87	255	255	54	0
88	lh.network_88	255	228	0	0
89	lh.network_89	255	255	192	0
90	lh.network_90	255	255	147	0
91	lh.network_91	255	169	0	0
92	lh.network_92	255	255	21	0
93	lh.network_93	255	255	117	0
94	lh.network_94	255	255	138	0
95	lh.network_95	255	255	114	0
96	lh.network_96	255	255	231	0
97	lh.network_97	255	230	0	0
98	lh.network_98	255	214	0	0
99	lh.network_99	255	255	180	0
100	lh.network_100	255	158	0	0
101	lh.network_101	140	0	0	0
102	lh.network_102	255	60	0	0
103	lh.network_103	255	255	12	0
104	lh.network_104	255	218	0	0
105	lh.network_105	255	107	0	0
106	lh.network_106	255	72	0	0
107	lh.network_107	191	0	0	0
108	lh.network_108	171	0	0	0
109	lh.network_109	33	0	0	0
110	lh.network_110	27	0	0	0
111	lh.network_111	255	70	0	0
112	lh.network_112	239	0	0	0
113	lh.network_113	255	47	0	0
114	lh.network_114	218	0	0	0
115	lh.network_115	119	0	0	0
116	lh.network_116	156	0	0	0
117	lh.network_117	76	0	0	0
118	lh.network_118	241	0	0	0
119	lh.network_119	185	0	0	0
120	lh.network_120	245	0	0	0
121	lh.network_121	255	39	0	0
122	lh.network_122	132	0	0	0
123	lh.network_123	53	0	0	0
124	lh.network_124	109	0	0	0
125	lh.network_125	84	0	0	0
126	lh.network_126	255	6	0	0
127	lh.network_127	255	232	0	0
128	lh.network_128	146	0	0	0
129	lh.network_129	255	37	0	0
130	lh.network_130	134	0	0	0
131	lh.network_131	255	84	0	0
132	lh.network_132	255	146	0	0
133	lh.network_133	230	0	0	0
134	lh.network_134	167	0	0	0
135	lh.network_135	43	0	0	0
136	lh.network_136	255	41	0	0
137	lh.network_137	255	255	0	0
138	lh.network_138	255	121	0	0
139	lh.network_139	255	255	42	0
140	lh.network_140	234	0	0	0
141	lh.network_141	255	220	0	0
142	lh.network_142	253	0	0	0
143	lh.network_143	142	0	0	0
144	lh.network_144	8	0	0	0
145	lh.network_145	45	0	0	0
146	lh.network_146	47	0	0	0
147	lh.network_147	10	0	0	0
148	lh.network_148	255	33	0	0
149	lh.network_149	35	0	0	0
150	lh.network_150	154	0	0	0
151	lh.network_151	193	0	0	0
152	lh.network_152	255	19	0	0
153	lh.network_153	90	0	0	0
154	lh.network_154	51	0	0	0
155	lh.network_155	41	0	0	0
156	lh.network_156	224	0	0	0
157	lh.network_157	107	0	0	0
158	lh.network_158	206	0	0	0
159	lh.network_159	255	130	0	0
160	lh.network_160	214	0	0	0
161	lh.network_161	255	16	0	0
