#$Id: networkLUT_lh.txt 

#No.	Label Name:	R	G	B	A
0	Unknown	0	0	0	0
1	lh.network_1	255	161	0	0
2	lh.network_2	255	170	0	0
3	lh.network_3	197	255	58	0
4	lh.network_4	255	179	0	0
5	lh.network_5	170	0	0	0
6	lh.network_6	85	255	170	0
7	lh.network_7	27	255	228	0
8	lh.network_8	255	12	0	0
9	lh.network_9	0	0	225	0
10	lh.network_10	9	255	246	0
11	lh.network_11	0	70	255	0
12	lh.network_12	243	255	12	0
13	lh.network_13	255	82	0	0
14	lh.network_14	255	76	0	0
15	lh.network_15	143	0	0	0
16	lh.network_16	255	85	0	0
17	lh.network_17	240	0	0	0
18	lh.network_18	197	0	0	0
19	lh.network_19	255	91	0	0
20	lh.network_20	255	43	0	0
21	lh.network_21	255	209	0	0
22	lh.network_22	203	255	52	0
23	lh.network_23	191	0	0	0
24	lh.network_24	73	255	182	0
25	lh.network_25	0	197	255	0
26	lh.network_26	228	255	27	0
27	lh.network_27	109	255	146	0
28	lh.network_28	0	85	255	0
29	lh.network_29	49	255	206	0
30	lh.network_30	255	88	0	0
31	lh.network_31	146	0	0	0
32	lh.network_32	255	146	0	0
33	lh.network_33	255	103	0	0
34	lh.network_34	255	73	0	0
35	lh.network_35	255	55	0	0
36	lh.network_36	255	143	0	0
37	lh.network_37	252	255	3	0
38	lh.network_38	255	94	0	0
39	lh.network_39	255	228	0	0
40	lh.network_40	36	255	219	0
41	lh.network_41	255	219	0	0
42	lh.network_42	213	255	43	0
43	lh.network_43	255	9	0	0
44	lh.network_44	106	255	149	0
45	lh.network_45	255	124	0	0
46	lh.network_46	164	0	0	0
47	lh.network_47	255	67	0	0
48	lh.network_48	152	0	0	0
49	lh.network_49	255	49	0	0
50	lh.network_50	255	243	0	0
51	lh.network_51	164	255	91	0
52	lh.network_52	0	124	255	0
53	lh.network_53	70	255	185	0
54	lh.network_54	76	255	179	0
55	lh.network_55	12	255	243	0
56	lh.network_56	255	167	0	0
57	lh.network_57	255	246	0	0
58	lh.network_58	200	255	55	0
59	lh.network_59	255	106	0	0
60	lh.network_60	0	164	255	0
61	lh.network_61	128	255	128	0
62	lh.network_62	0	30	255	0
63	lh.network_63	0	0	237	0
64	lh.network_64	0	0	231	0
65	lh.network_65	21	255	234	0
66	lh.network_66	0	21	255	0
67	lh.network_67	0	39	255	0
68	lh.network_68	0	61	255	0
69	lh.network_69	0	209	255	0
70	lh.network_70	0	234	255	0
71	lh.network_71	52	255	203	0
72	lh.network_72	0	0	219	0
73	lh.network_73	118	255	137	0
74	lh.network_74	0	109	255	0
75	lh.network_75	0	143	255	0
76	lh.network_76	0	0	149	0
77	lh.network_77	55	255	200	0
78	lh.network_78	0	103	255	0
79	lh.network_79	0	216	255	0
80	lh.network_80	24	255	231	0
81	lh.network_81	0	0	243	0
82	lh.network_82	0	0	152	0
83	lh.network_83	0	100	255	0
84	lh.network_84	0	9	255	0
85	lh.network_85	188	255	67	0
86	lh.network_86	91	255	164	0
87	lh.network_87	255	182	0	0
88	lh.network_88	206	0	0	0
89	lh.network_89	243	0	0	0
90	lh.network_90	255	0	0	0
91	lh.network_91	255	152	0	0
92	lh.network_92	255	30	0	0
93	lh.network_93	255	134	0	0
94	lh.network_94	167	255	88	0
95	lh.network_95	255	137	0	0
96	lh.network_96	161	255	94	0
97	lh.network_97	246	0	0	0
98	lh.network_98	167	0	0	0
99	lh.network_99	255	27	0	0
100	lh.network_100	0	112	255	0
101	lh.network_101	67	255	188	0
102	lh.network_102	30	255	225	0
103	lh.network_103	0	27	255	0
104	lh.network_104	0	155	255	0
105	lh.network_105	0	118	255	0
106	lh.network_106	149	255	106	0
107	lh.network_107	18	255	237	0
108	lh.network_108	79	255	176	0
109	lh.network_109	255	225	0	0
110	lh.network_110	0	15	255	0
111	lh.network_111	0	0	240	0
112	lh.network_112	0	0	222	0
113	lh.network_113	46	255	209	0
114	lh.network_114	0	140	255	0
115	lh.network_115	0	106	255	0
116	lh.network_116	0	49	255	0
117	lh.network_117	94	255	161	0
118	lh.network_118	0	0	213	0
119	lh.network_119	0	115	255	0
120	lh.network_120	0	67	255	0
121	lh.network_121	0	0	228	0
122	lh.network_122	0	76	255	0
123	lh.network_123	185	255	70	0
124	lh.network_124	0	149	255	0
125	lh.network_125	0	146	255	0
126	lh.network_126	0	0	179	0
127	lh.network_127	0	0	134	0
128	lh.network_128	0	222	255	0
129	lh.network_129	0	0	158	0
130	lh.network_130	255	255	0	0
131	lh.network_131	149	0	0	0
132	lh.network_132	131	255	124	0
133	lh.network_133	0	0	209	0
134	lh.network_134	0	0	255	0
135	lh.network_135	216	255	39	0
136	lh.network_136	219	255	36	0
137	lh.network_137	219	0	0	0
138	lh.network_138	222	0	0	0
139	lh.network_139	255	21	0	0
140	lh.network_140	134	0	0	0
141	lh.network_141	255	100	0	0
142	lh.network_142	0	131	255	0
143	lh.network_143	255	58	0	0
144	lh.network_144	158	0	0	0
145	lh.network_145	255	252	0	0
146	lh.network_146	112	255	143	0
147	lh.network_147	103	255	152	0
148	lh.network_148	0	0	252	0
149	lh.network_149	255	200	0	0
150	lh.network_150	0	176	255	0
151	lh.network_151	0	243	255	0
152	lh.network_152	0	0	246	0
153	lh.network_153	222	255	33	0
154	lh.network_154	255	112	0	0
155	lh.network_155	15	255	240	0
156	lh.network_156	255	70	0	0
157	lh.network_157	255	206	0	0
158	lh.network_158	225	255	30	0
159	lh.network_159	0	0	140	0
160	lh.network_160	58	255	197	0
161	lh.network_161	0	0	203	0
