#$Id: networkLUT_rh.txt 

#No.	Label Name:	R	G	B	A
0	Unknown	0	0	0	0
1	rh.network_162	255	78	0	0
2	rh.network_163	255	80	0	0
3	rh.network_164	255	82	0	0
4	rh.network_165	255	84	0	0
5	rh.network_166	255	86	0	0
6	rh.network_167	255	88	0	0
7	rh.network_168	255	90	0	0
8	rh.network_169	255	93	0	0
9	rh.network_170	255	95	0	0
10	rh.network_171	255	97	0	0
11	rh.network_172	255	99	0	0
12	rh.network_173	255	101	0	0
13	rh.network_174	255	103	0	0
14	rh.network_175	255	105	0	0
15	rh.network_176	255	107	0	0
16	rh.network_177	255	109	0	0
17	rh.network_178	255	111	0	0
18	rh.network_179	255	113	0	0
19	rh.network_180	255	115	0	0
20	rh.network_181	255	117	0	0
21	rh.network_182	255	119	0	0
22	rh.network_183	255	121	0	0
23	rh.network_184	255	123	0	0
24	rh.network_185	255	125	0	0
25	rh.network_186	255	128	0	0
26	rh.network_187	255	130	0	0
27	rh.network_188	255	132	0	0
28	rh.network_189	255	134	0	0
29	rh.network_190	255	136	0	0
30	rh.network_191	255	138	0	0
31	rh.network_192	255	140	0	0
32	rh.network_193	255	142	0	0
33	rh.network_194	255	144	0	0
34	rh.network_195	255	146	0	0
35	rh.network_196	255	148	0	0
36	rh.network_197	255	150	0	0
37	rh.network_198	255	152	0	0
38	rh.network_199	255	154	0	0
39	rh.network_200	255	156	0	0
40	rh.network_201	255	158	0	0
41	rh.network_202	255	160	0	0
42	rh.network_203	255	162	0	0
43	rh.network_204	255	165	0	0
44	rh.network_205	255	167	0	0
45	rh.network_206	255	169	0	0
46	rh.network_207	255	171	0	0
47	rh.network_208	255	173	0	0
48	rh.network_209	255	175	0	0
49	rh.network_210	255	177	0	0
50	rh.network_211	255	179	0	0
51	rh.network_212	255	181	0	0
52	rh.network_213	255	183	0	0
53	rh.network_214	255	185	0	0
54	rh.network_215	255	187	0	0
55	rh.network_216	255	189	0	0
56	rh.network_217	255	191	0	0
57	rh.network_218	255	193	0	0
58	rh.network_219	255	195	0	0
59	rh.network_220	255	197	0	0
60	rh.network_221	255	199	0	0
61	rh.network_222	255	202	0	0
62	rh.network_223	255	204	0	0
